Time,Prompt
Morning,What is the current problem or challenge I am facing?
Creativity,What does creativity mean to me?
Creativity,How do I get to use my creativity on a daily basis?
Creativity,What is one thing that I have always wanted to create, and what steps can I take to make it a reality?
Creativity,What is one place or environment that inspires my creativity, and how can I create more opportunities to be in that space?
Creativity,What are my passions and interests, and how can I incorporate them into my work or personal life?
Creativity,What is one small creative project that I can do today, and how can I make it unique to my personal style?
Creativity,What is one fear or obstacle that is holding me back creatively, and what can I do to overcome it?
Creativity,What is one thing that I can learn or experiment with in order to expand my creative skills and knowledge?
Creativity,What is one challenge or prompt that I can give myself to push myself creatively?
Creativity,What is one way I can creatively express gratitude, love, or appreciation for someone in my life?
Creativity,How can I challenge myself to think outside of the box and embrace new and creative ideas?
Creativity,How can I surround myself with people and environments that foster creativity and inspiration?
Creativity,What are some ways I can take time for myself and recharge my batteries to cultivate creativity and inspiration?
Creativity,What are some hobbies or activities I can pursue to tap into my creativity and imagination?
Creativity,How can I incorporate more play and fun into my life to foster creativity and inspiration?
Creativity,What are some ways I can break out of my comfort zone and try new things to stimulate creativity and inspiration?
Creativity,How can I be more open-minded and receptive to new ideas and perspectives?
Creativity,What are some ways I can use technology and innovation to enhance my creativity and inspiration?
Creativity,How can I seek out new experiences and adventures to expand my horizons and inspire my creativity?
Creativity,How can I create a supportive and nurturing environment for my mind, body, and soul to encourage creativity and inspiration?
Daily,How am I feeling today?
Daily,How does my body feel today?
Daily,What am I nervous or anxious about today?
Morning,What are my top priorities for the day?
Morning,What’s something I can do to make today amazing?
End of Day,What did I learn today? How can I apply this knowledge in the future?
End of Day,What challenges did I face today? How did I overcome them? What can I learn from these experiences?
End of Day,What did I do today that brought me joy or fulfillment? How can I incorporate more of these activities into my daily routine?
End of Day,What was a moment of joy, delight, or contentment today?
End of Day,What was a small detail I noticed today?
End of Day,What was the weather like today?
End of Day,What am I thankful for today?
End of Day,What could I have done differently today?
End of Day,How can I make tomorrow even better?
End of Day,What are three things that went well today, and why?
End of Day,What were the highlights of my day?
End of Day,What are three things that I could have done differently today, and how can I learn from these experiences?
End of Day,What did I learn today?
End of Day,How did I show gratitude today?
End of Day,What were some challenges I faced today and how did I overcome them?
End of Day,What did I do to take care of myself today?
End of Day,What did I do to help others today?
End of Day,How did I prioritize my time today?
End of Day,What did I do to bring positivity into my day?
End of Day,What did I do today that made me proud of myself?
End of Day,What were the most important events of the day?
End of Day,How did I feel at different moments throughout the day?
End of Day,What were some unexpected events that took place today?
End of Day,What did I accomplish today?
End of Day,What are some things I would like to do differently tomorrow?
End of Day,What did I do to relax and recharge today?
End of Day,What were some of the sights, sounds, and smells I experienced today?
End of Day,How did I handle any difficult situations that arose today?
End of Day,What are some things I am looking forward to tomorrow?
End of Day,What emotions did I experience today?
End of Day,How did I respond to each emotion? What triggered each emotion?
End of Day,What did I do to make a positive impact on someone else’s day?
End of Day,What am I looking forward to tomorrow?
End of Day,What can I do to prepare for a peaceful night’s sleep?
End of Day,What was the most significant event of my day and why was it important?
End of Day,How did I handle any conflicts or difficult situations today?
End of Day,What did I learn about myself today?
End of Day,What are some things I can do differently tomorrow to have an even better day?
End of Day,Who made a positive impact on my day and how?
End of Day,What did I do to make someone else’s day better?
End of Day,What are some things I want to remember about today?
Goal Setting,What are my top three goals for the next year?
Goal Setting,What are some actionable steps I can take to achieve my goals?
Goal Setting,What is one new habit I would like to develop in the next month?
Goal Setting,How can I create a plan to make a new habit a consistent part of my routine?
Goal Setting,What are three skills or areas of knowledge I would like to develop in the next year?
Goal Setting,What resources or support can I seek out to help me achieve my goals?
Goal Setting,What are three things that are holding me back from achieving my goals?
Goal Setting,What are three small, measurable goals I can set for myself this week?
Goal Setting,How will I hold myself accountable for following through on my goals?
Goal Setting,What are my long-term career goals? What are some concrete steps I can take to move closer to achieving them?
Goal Setting,What are my personal values and how do they relate to my goals?
Goal Setting,How can I ensure that my goals are aligned with my values?
Goal Setting,What are some potential roadblocks or challenges that I may encounter as I work towards my goals?
Goal Setting,How can I develop a plan to overcome roadblocks or challenges to my goals?
Goal Setting,How can I track my progress towards my goals?
Goal Setting,What tools or systems can I use to stay motivated and on track?
Goal Setting,What are three small, specific goals I can set for myself each day?
Goal Setting,How can I ensure that my daily actions align with my larger goals and priorities?
Goal Setting,What habits do I need in order to achieve my goals?
Morning,At the end of the day I want to feel…
Morning,Is anything worrying me? If so, what?
Morning,What habits increase my productivity?
Morning,How can I care for myself or practice self love today?
Morning,How do I want to feel today?
